run_dir,attn_dropout,batch_size,content_rel_attn,dataset,depth,dim,embedding_type,exp_name,feature_redraw_interval,ff_dropout,heads,in_features,learning_rate,log_path,max_pos,model,no_projection,num_classes,pos_dims,schedule,pos_scales,version,schedule,warmup,val/loss,val/acc,test/loss,test/acc,n_parameters,seed
lightning_logs/fixed/check_lengthscales/RelativePerformer_CIFAR10_linear_scales16,0.1,22,FALSE,CIFAR10,6,256,linear,check_lengthscales,1000,0.1,8,3,5.00E-05,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,16,RelativePerformer_CIFAR10_linear_scales16,constant,0,1.116649866,0.628554285,1.114990354,0.616740108,4745242,
lightning_logs/fixed/check_lengthscales/RelativePerformer_MNIST_linear_scales16,0.1,22,FALSE,MNIST,6,256,linear,check_lengthscales,1000,0.1,8,1,5.00E-05,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,16,RelativePerformer_MNIST_linear_scales16,constant,0,0.119509697,0.973968744,0.098349035,0.975971162,4744730,
lightning_logs/fixed/check_lengthscales/RelativePerformer_FashionMNIST_linear_scales16,0.1,22,FALSE,FashionMNIST,6,256,linear,check_lengthscales,1000,0.1,8,1,5.00E-05,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,16,RelativePerformer_FashionMNIST_linear_scales16,constant,0,0.414684236,0.852623165,0.414681643,0.844313204,4744730,
lightning_logs/fixed/content_relative/RelativePerformer_MNIST_linear_redraw1000,0.1,22,TRUE,MNIST,6,256,linear,content_relative,1000,0.1,8,1,5.00E-05,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_MNIST_linear_redraw1000,constant,0,0.071771234,0.987184644,0.063143104,0.987685204,4742414,
lightning_logs/fixed/content_relative/RelativePerformer_CIFAR10_linear_redraw1000,0.1,22,TRUE,CIFAR10,6,256,linear,content_relative,1000,0.1,8,3,5.00E-05,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_CIFAR10_linear_redraw1000,constant,0,1.387109399,0.673007607,1.413014174,0.659691632,4742926,
lightning_logs/fixed/content_relative/RelativePerformer_CIFAR10_linear_redraw100,0.1,22,TRUE,CIFAR10,6,256,linear,content_relative,100,0.1,8,3,5.00E-05,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_CIFAR10_linear_redraw100,constant,0,1.370040178,0.629555464,1.387779236,0.615839005,4742926,
lightning_logs/fixed/content_relative/RelativePerformer_FashionMNIST_linear_redraw1000,0.1,22,TRUE,FashionMNIST,6,256,linear,content_relative,1000,0.1,8,1,5.00E-05,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_FashionMNIST_linear_redraw1000,constant,0,0.336367369,0.909891844,0.35093987,0.902282715,4742414,
lightning_logs/fixed/content_relative/RelativePerformer_MNIST_linear_redraw100,0.1,22,TRUE,MNIST,6,256,linear,content_relative,100,0.1,8,1,5.00E-05,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_MNIST_linear_redraw100,constant,0,0.081043541,0.988386035,0.069306441,0.988686442,4742414,
lightning_logs/fixed/content_relative/RelativePerformer_FashionMNIST_linear_redraw100,0.1,22,TRUE,FashionMNIST,6,256,linear,content_relative,100,0.1,8,1,5.00E-05,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_FashionMNIST_linear_redraw100,constant,0,0.323626816,0.899078906,0.328474641,0.893672407,4742414,
lightning_logs/fixed/resize_fixed_relative_redraw100/RelativePerformer_MNIST_linear,0.1,22,FALSE,MNIST,6,256,linear,resize_fixed_relative_redraw100,100,0.1,8,1,5.00E-05,lightning_logs,32,RelativePerformer,FALSE,10,2,constant,4,RelativePerformer_MNIST_linear,constant,0,0.090244085,0.985582709,0.077060908,0.984681606,4742414,
lightning_logs/fixed/resize_fixed_relative_redraw100/Performer_FashionMNIST_linear,0.1,22,FALSE,FashionMNIST,6,256,linear,resize_fixed_relative_redraw100,100,0.1,8,1,5.00E-05,lightning_logs,32,Performer,FALSE,10,2,constant,,Performer_FashionMNIST_linear,constant,0,0.331965327,0.907489002,0.355352879,0.904685616,4741706,
